#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-10-16"
#curie_map:
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  DOID: "http://purl.obolibrary.org/obo/DOID_"
#  ECTO: "http://purl.obolibrary.org/obo/ECTO_"
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  FOODON: "http://purl.obolibrary.org/obo/FOODON_"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  HP: "http://purl.obolibrary.org/obo/HP_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  MESH: "http://purl.obolibrary.org/obo/MESH_"
#  MF: "http://purl.obolibrary.org/obo/MF_"
#  MFOEM: "http://purl.obolibrary.org/obo/MFOEM_"
#  MFOMD: "http://purl.obolibrary.org/obo/MFOMD_"
#  MONDO: "http://purl.obolibrary.org/obo/MONDO_"
#  NANDO: "http://nanbyodata.jp/ontology/nando#"
#  NBO: "http://purl.obolibrary.org/obo/NBO_"
#  NCBITaxon: "http://purl.obolibrary.org/obo/NCBITaxon_"
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  OBA: "http://purl.obolibrary.org/obo/OBA_"
#  OBI: "http://purl.obolibrary.org/obo/OBI_"
#  OGMS: "http://purl.obolibrary.org/obo/OGMS_"
#  OMIM: "http://purl.obolibrary.org/obo/OMIM_"
#  OMIMPS: "http://purl.obolibrary.org/obo/OMIMPS_"
#  Orphanet: "http://www.orpha.net/ORDO/Orphanet_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  PO: "http://purl.obolibrary.org/obo/PO_"
#  PR: "http://purl.obolibrary.org/obo/PR_"
#  RO: "http://purl.obolibrary.org/obo/RO_"
#  SCTID: "http://purl.obolibrary.org/obo/SCTID_"
#  SO: "http://purl.obolibrary.org/obo/SO_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  UMLS: "http://linkedlifedata.com/resource/umls/id/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
NANDO:2200488	Lysinuric protein intolerance	owl:equivalentClass	MONDO:0009109	lysinuric protein intolerance	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	intractable disease	BFO:0000016	lysinuric protein intoler	many_to_one	.
NANDO:2200488	Lysinuric protein intolerance	owl:equivalentClass	MONDO:0009109	lysinuric protein intolerance	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	lysinuric protein intoler	many_to_one	.
NANDO:2200488	Lysinuric protein intolerance	owl:equivalentClass	MONDO:0009109	lysinuric protein intolerance	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	intractable disease	BFO:0000016	lysinuric protein intolerance	many_to_one	.
NANDO:2200488	Lysinuric protein intolerance	owl:equivalentClass	MONDO:0009109	lysinuric protein intolerance	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	lysinuric protein intolerance	many_to_one	.
NANDO:1200654	Occipital horn syndrome	owl:equivalentClass	MONDO:0010572	occipital horn syndrome	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	intractable disease	BFO:0000016	occipital horn syndrom	many_to_one	.
NANDO:1200654	Occipital horn syndrome	owl:equivalentClass	MONDO:0010572	occipital horn syndrome	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	occipital horn syndrom	many_to_one	.
NANDO:1200654	Occipital horn syndrome	owl:equivalentClass	MONDO:0010572	occipital horn syndrome	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	intractable disease	BFO:0000016	occipital horn syndrome	many_to_one	.
NANDO:1200654	Occipital horn syndrome	owl:equivalentClass	MONDO:0010572	occipital horn syndrome	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	occipital horn syndrome	many_to_one	.
NANDO:1200302	Congenital aplastic anemia	owl:equivalentClass	MONDO:0001713	inherited aplastic anemia	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasRelatedSynonym	intractable disease	BFO:0000016	congenital aplastic anemia	unique	.
NANDO:1200302	Congenital aplastic anemia	owl:equivalentClass	MONDO:0001713	inherited aplastic anemia	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasRelatedSynonym	intractable disease	BFO:0000016	congenital aplastic anemia	unique	.
NANDO:2200853	spinal muscular atrophy	owl:equivalentClass	MONDO:0001516	spinal muscular atrophy	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	spinal muscular atrophi	many_to_one	.
NANDO:2200853	spinal muscular atrophy	owl:equivalentClass	MONDO:0001516	spinal muscular atrophy	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	spinal muscular atrophy	many_to_one	.
NANDO:2200137	Chronic pyelonephritis	owl:equivalentClass	MONDO:0001110	chronic pyelonephritis	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	chronic pyelonephr	many_to_one	.
NANDO:2200137	Chronic pyelonephritis	owl:equivalentClass	MONDO:0001110	chronic pyelonephritis	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	chronic pyelonephritis	many_to_one	.
NANDO:1200304	dyskeratosis congenita	owl:equivalentClass	MONDO:0015780	dyskeratosis congenita	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	dyskeratosis congenita	many_to_one	.
NANDO:1200304	dyskeratosis congenita	owl:equivalentClass	MONDO:0015780	dyskeratosis congenita	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	rdfs:label	intractable disease	BFO:0000016	dyskeratosis congenita	many_to_one	.
NANDO:2200489	Cystinuria	owl:equivalentClass	MONDO:0009067	cystinuria (disease)	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	intractable disease	BFO:0000016	cystinuria	unique	.
NANDO:2200489	Cystinuria	owl:equivalentClass	MONDO:0009067	cystinuria (disease)	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	intractable disease	BFO:0000016	cystinuria	unique	.
NANDO:2200136	Tubulointerstitial nephritis	owl:equivalentClass	MONDO:0001085	interstitial nephritis	Lexical|Stemming	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	intractable disease	BFO:0000016	tubulointerstitial nephr	unique	.
NANDO:2200136	Tubulointerstitial nephritis	owl:equivalentClass	MONDO:0001085	interstitial nephritis	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	intractable disease	BFO:0000016	tubulointerstitial nephritis	unique	.
NANDO:1200303	fanconi anemia	owl:equivalentClass	MONDO:0009215	Fanconi anemia complementation group A	Lexical	NANDO	MONDO	rdf_matcher	0.5	rdfs:label	oio:hasRelatedSynonym	intractable disease	BFO:0000016	fanconi anemia	many_to_many	.
